"","Airport","Hour","Average_wTime_per_Pax","Average_num_Pax","Average_num_Flights","Average_num_booth"
"1","BOS","0000 - 0100",9,110.2,1.1,4
"2","BOS","0100 - 0200",5,119,1,4.5
"3","BOS","0200 - 0300",23,138,1,3
"4","BOS","0300 - 0400",16,6.5,1,1.5
"5","BOS","0400 - 0500",2.5,46.5,1.5,2.5
"6","BOS","0500 - 0600",12.9,204,1,3
"7","BOS","0600 - 0700",22.5,167.5,1.1,7
"8","BOS","0700 - 0800",17.7,183,1.3,7
"9","BOS","0800 - 0900",13.6,137.5,1.4,6
"10","BOS","0900 - 1000",16.8,163.3,1.1,6
"11","BOS","1000 - 1100",7.3,73.3,1.1,4
"12","BOS","1100 - 1200",9,194.2,1.5,6
"13","BOS","1200 - 1300",10.8,414.5,2.3,10
"14","BOS","1300 - 1400",16.6,928.1,4.2,15
"15","BOS","1400 - 1500",25.6,927.5,4.2,17
"16","BOS","1500 - 1600",23.1,606.2,2.9,16
"17","BOS","1600 - 1700",11.7,364.1,2.3,13
"18","BOS","1700 - 1800",13.3,729.9,4.1,14
"19","BOS","1800 - 1900",18.1,1108.6,5.4,15
"20","BOS","1900 - 2000",16.4,912.9,5,14
"21","BOS","2000 - 2100",14.5,643.4,3.7,12
"22","BOS","2100 - 2200",14.8,439.7,2.8,9
"23","BOS","2200 - 2300",14.4,394.4,2.4,9
"24","BOS","2300 - 0000",10.3,174.7,1.2,7
"25","EWR","0000 - 0100",13.2,161.6,1.4,6
"26","EWR","0100 - 0200",14.8,151.2,1.2,6
"27","EWR","0200 - 0300",15.8,147.3,1.1,6
"28","EWR","0300 - 0400",33,311.7,1,12
"29","EWR","0400 - 0500",18.5,492.2,2,13
"30","EWR","0500 - 0600",24.5,498.1,2.3,11
"31","EWR","0600 - 0700",24.4,288.8,1.3,10
"32","EWR","0700 - 0800",20.8,240.4,1.2,9
"33","EWR","0800 - 0900",19.5,238.5,1.4,9
"34","EWR","0900 - 1000",15.8,150.5,1.4,6
"35","EWR","1000 - 1100",19.1,244,2,10
"36","EWR","1100 - 1200",16.5,437,3.6,13
"37","EWR","1200 - 1300",16.9,612.7,4.6,13
"38","EWR","1300 - 1400",21.2,903.4,6.2,14
"39","EWR","1400 - 1500",25.5,768.6,5.1,14
"40","EWR","1500 - 1600",24.5,639.6,4.3,15
"41","EWR","1600 - 1700",19.9,628.5,4.1,14
"42","EWR","1700 - 1800",15.8,595.8,4.1,12
"43","EWR","1800 - 1900",16.7,598.5,4.3,12
"44","EWR","1900 - 2000",19,697.8,4.9,14
"45","EWR","2000 - 2100",17.2,578.2,3.7,14
"46","EWR","2100 - 2200",19.6,720.1,4,16
"47","EWR","2200 - 2300",20.6,499.9,2.8,14
"48","EWR","2300 - 0000",16.5,281.5,1.8,12
"49","IAD","0000 - 0100",11.7,156.1,1.1,4
"50","IAD","0100 - 0200",10.2,141.6,1.1,4
"51","IAD","0200 - 0300",10.5,117.9,1.1,4
"52","IAD","0300 - 0400",10.8,109.3,1,4
"53","IAD","0400 - 0500",19.8,171.2,1,3
"54","IAD","0500 - 0600",10.6,192.9,1.1,8
"55","IAD","0600 - 0700",8.7,349.9,1.8,9
"56","IAD","0700 - 0800",12.2,387.4,1.4,11
"57","IAD","0800 - 0900",17.7,597.1,1.7,12
"58","IAD","0900 - 1000",11.1,267.2,1.6,10
"59","IAD","1000 - 1100",7.9,307.1,2,9
"60","IAD","1100 - 1200",10,253.2,1.4,8
"61","IAD","1200 - 1300",14.5,307.1,1.7,11
"62","IAD","1300 - 1400",13.2,703.5,3.6,18
"63","IAD","1400 - 1500",14.5,2007.9,11.5,21
"64","IAD","1500 - 1600",18.8,1761,8.5,21
"65","IAD","1600 - 1700",13.8,669.2,2.8,20
"66","IAD","1700 - 1800",7.3,220.1,1.4,10
"67","IAD","1800 - 1900",7.1,371.7,2.1,11
"68","IAD","1900 - 2000",12.3,1190,6.5,14
"69","IAD","2000 - 2100",13.1,599.6,3.1,12
"70","IAD","2100 - 2200",13.2,256,1.5,9
"71","IAD","2200 - 2300",10.2,135.3,1.2,6
"72","IAD","2300 - 0000",17.5,168,1.3,6
"73","JFK","0000 - 0100",20.7,491.1,3.1,12
"74","JFK","0100 - 0200",19.2,253.2,1.6,10
"75","JFK","0200 - 0300",18.3,211.7,1.5,10
"76","JFK","0300 - 0400",12.7,259.2,1.5,12
"77","JFK","0400 - 0500",14.3,649.1,3,17
"78","JFK","0500 - 0600",19.5,648.2,3.3,15
"79","JFK","0600 - 0700",18.2,386.8,2,9
"80","JFK","0700 - 0800",20.4,409.5,1.8,11
"81","JFK","0800 - 0900",22.5,310.4,1.4,8
"82","JFK","0900 - 1000",22.3,406.9,1.9,9
"83","JFK","1000 - 1100",22.8,451.9,1.9,12
"84","JFK","1100 - 1200",22,552.8,2.3,13
"85","JFK","1200 - 1300",21.2,826.6,3.8,14
"86","JFK","1300 - 1400",22.9,748,3.4,14
"87","JFK","1400 - 1500",20.7,680.7,3.1,14
"88","JFK","1500 - 1600",19.2,636.3,3,13
"89","JFK","1600 - 1700",18.3,653.5,3,12
"90","JFK","1700 - 1800",16.1,602.7,3.1,11
"91","JFK","1800 - 1900",16.4,573.5,2.8,11
"92","JFK","1900 - 2000",18.1,606.7,2.7,12
"93","JFK","2000 - 2100",16.5,611.8,2.8,12
"94","JFK","2100 - 2200",16.5,483.6,2.4,11
"95","JFK","2200 - 2300",17.2,503.3,2.6,10
"96","JFK","2300 - 0000",18.6,499.8,2.9,11
"97","PHL","0000 - 0100",19,261,1,6
"98","PHL","0100 - 0200",10,133,1,4
"99","PHL","0400 - 0500",9,6,1,1
"100","PHL","0700 - 0800",33.2,239,1,4
"101","PHL","0800 - 0900",23.3,170.7,1,3.5
"102","PHL","1000 - 1100",11,101.1,1,4
"103","PHL","1100 - 1200",10.3,144.9,1.2,5
"104","PHL","1200 - 1300",10.1,318.7,1.9,9
"105","PHL","1300 - 1400",14.7,640.9,3.8,12
"106","PHL","1400 - 1500",11.3,490.3,2.9,12
"107","PHL","1500 - 1600",16.9,1064.4,5.4,13
"108","PHL","1600 - 1700",18,647.5,3.5,12
"109","PHL","1700 - 1800",9.8,331.5,1.9,9.5
"110","PHL","1800 - 1900",8.7,325.5,2,8
"111","PHL","1900 - 2000",9,411.6,2.8,8
